prompt,x,y,label
What do you get when you add 17 to 93?,17,93,add
Find the difference between 17 and 6.,17,6,subtract
A car travels 54 kilometers every hour. How far does it go in 50 hours?,54,50,multiply
Add 44 and 36.,44,36,add
What do you get if you take 23 away from 21?,21,23,subtract
What do you get if you take 91 away from 6?,6,91,subtract
Calculate 93 multiplied by 65.,93,65,multiply
"66 people entered a hall, and 11 left. How many are still inside?",66,11,subtract
Multiply 55 and 29.,55,29,multiply
Find the difference between 32 and 48.,32,48,subtract
Add 19 and 34.,19,34,add
Compute the result of 24 subtract 9.,24,9,subtract
What do you get if you take 19 away from 71?,71,19,subtract
What is 97 minus 10?,97,10,subtract
What is the product of 79 and 99?,79,99,multiply
Multiply 71 and 58.,71,58,multiply
Multiply 18 and 20.,18,20,multiply
A car travels 54 kilometers every hour. How far does it go in 33 hours?,54,33,multiply
Compute the result of 59 subtract 80.,59,80,subtract
"If each of the 76 boxes contains 73 candies, how many candies are there in total?",76,73,multiply
What do you get when you add 43 to 10?,43,10,add
Calculate 6 multiplied by 32.,6,32,multiply
Add 78 and 55.,78,55,add
What do you get if you times 72 and 77?,72,77,multiply
"52 people entered a hall, and 87 left. How many are still inside?",52,87,subtract
What is the product of 26 and 19?,26,19,multiply
Give me the total of 49 and 77.,49,77,add
What do you get if you times 54 and 53?,54,53,multiply
"If each of the 95 boxes contains 22 candies, how many candies are there in total?",95,22,multiply
Add 12 and 28.,12,28,add
"43 people entered a hall, and 53 left. How many are still inside?",43,53,subtract
